filename;compressed_size;uncompressed_size
10942.json;387727;5576235
10943.json;352169;5174697
10944.json;428306;5809576
10945.json;304990;5647892
10946.json;442914;6784900
10947.json;431348;5989382
10948.json;402116;5701790
10949.json;350550;5486555
1094.json;521896;6786249
10950.json;384588;5559530
10951.json;330467;4869183
10952.json;407911;6110934
10953.json;765632;7762468
10954.json;476639;6408114
10955.json;428540;6127009
10956.json;445268;6113962
10957.json;436735;6097191
10958.json;756397;7698573
10959.json;390144;5908008
1095.json;514133;6777744
10960.json;354927;5905668
10961.json;390462;6065932
10962.json;414449;5976609
10963.json;434902;6038859
10964.json;460634;6103107
10965.json;386028;5795083
10966.json;381002;5536510
10967.json;452591;5909194
10968.json;491447;6403001
10969.json;434221;5943144
1096.json;530250;6804088
10970.json;375852;5447015
10971.json;448916;5899496
10972.json;312076;5457095
10973.json;442993;5825311
10974.json;424448;5832315
10975.json;354063;5550631
10976.json;383277;5549777
10977.json;384293;5563786
10978.json;404069;5512846
10979.json;288870;5182036
1097.json;522262;6657556
10980.json;390632;5594977
10981.json;400896;5323323
10982.json;393951;5760487
10983.json;431984;5787319
10984.json;349565;5452477
10985.json;388020;5427086
10986.json;900138;7565169
10987.json;413349;6091478
10988.json;380684;5898210
10989.json;403825;6004847
1098.json;520270;6637636
10990.json;392141;5742986
10991.json;386191;5533123
10992.json;373183;5625016
10993.json;345785;5691031
10994.json;368106;5660324
10995.json;420297;5673449
10996.json;324774;5317320
10997.json;306295;5502786
10998.json;344318;5462664
10999.json;386137;5671880
1099.json;523340;6598523
109.json;195424;3858682
10.json;224846;4013516
11000.json;357117;5559855
11001.json;831894;7280171
11002.json;399834;5851918
11003.json;390615;5618556
11004.json;375289;5736336
11005.json;448991;5863787
11006.json;361596;5526653
11007.json;350863;5396364
11008.json;401701;5522995
11009.json;468873;5778895
1100.json;519665;6697083
11010.json;303030;5379147
11011.json;406294;5625105
11012.json;271226;5289767
11013.json;213882;5108841
11014.json;240319;5212087
11015.json;359154;5485661
11016.json;346228;5492621
11017.json;324649;5421339
11018.json;288053;5133515
11019.json;427036;5978434
1101.json;473597;6230163
11020.json;364880;5557581
11021.json;469368;6182129
11022.json;470208;6197747
11023.json;558631;6736634
11024.json;500191;6240980
11025.json;421374;5959529
11026.json;433174;5994587
11027.json;414853;5642877
11028.json;338596;5309418
11029.json;484566;5971705
1102.json;460438;6272932
11030.json;564680;6453878
11031.json;432356;5971159
11032.json;458358;6022052
11033.json;418797;6060145
11034.json;419359;5975511
11035.json;422662;6241867
11036.json;279176;5788180
11037.json;275322;5613925
11038.json;330461;5358672
11039.json;307655;5281383
1103.json;450418;6292647
11040.json;359282;5334468
11041.json;423020;5655642
